Image,Class,height,kfold
image1166.jpg,Decorationandsignage,60,0
image10531.jpg,misc,53,0
image10344.jpg,Attire,60,0
image4347.jpg,Attire,59,0
image7651.jpg,Attire,53,0
image10466.jpg,misc,53,0
image6238.jpg,misc,64,0
image8444.jpg,Attire,120,0
image7899.jpg,Food,45,0
image3741.jpg,misc,60,0
image9456.jpg,Attire,53,0
image5802.jpg,Attire,108,0
image3911.jpg,Food,53,0
image6032.jpg,Attire,54,0
image3262.jpg,Attire,78,0
image2821.jpg,Attire,154,0
image2392.jpg,Food,80,0
image9309.jpg,Food,60,0
image5503.jpg,Attire,47,0
image6527.jpg,Attire,111,0
image9073.jpg,Food,60,0
image64.jpg,Attire,107,0
image2036.jpg,Decorationandsignage,60,0
image4795.jpg,Food,107,0
image80.jpg,Food,60,0
image2637.jpg,Attire,76,0
image2734.jpg,misc,45,0
image2476.jpg,Attire,53,0
image1849.jpg,Food,120,0
image10007.jpg,Attire,53,0
image4483.jpg,Decorationandsignage,80,0
image9289.jpg,misc,47,0
image10863.jpg,misc,60,0
image9931.jpg,Attire,115,0
image2784.jpg,Food,120,0
image5606.jpg,Attire,60,0
image4748.jpg,misc,80,0
image7897.jpg,Food,120,0
image4249.jpg,Food,60,0
image7070.jpg,Food,120,0
image4602.jpg,misc,60,0
image8955.jpg,Food,107,0
image8984.jpg,Decorationandsignage,142,0
image5601.jpg,Decorationandsignage,53,0
image6292.jpg,Decorationandsignage,60,0
image5028.jpg,misc,41,0
image5074.jpg,Decorationandsignage,43,0
image836.jpg,Food,60,0
image10589.jpg,Attire,88,0
image420.jpg,Decorationandsignage,60,0
image6386.jpg,Food,107,0
image5369.jpg,Attire,60,0
image8949.jpg,Food,54,0
image4012.jpg,Food,107,0
image10496.jpg,Attire,106,0
image7461.jpg,misc,53,0
image3559.jpg,Food,107,0
image9151.jpg,Food,60,0
image8915.jpg,misc,107,0
image8862.jpg,misc,38,0
image1904.jpg,misc,60,0
image2394.jpg,Decorationandsignage,53,0
image3394.jpg,Attire,68,0
image9447.jpg,Food,61,0
image9125.jpg,misc,80,0
image9294.jpg,Food,80,0
image2829.jpg,Decorationandsignage,60,0
image8259.jpg,misc,80,0
image103.jpg,Food,60,0
image1702.jpg,Food,45,0
image5225.jpg,Decorationandsignage,53,0
image5997.jpg,Food,54,0
image5501.jpg,Food,60,0
image5585.jpg,Food,80,0
image7423.jpg,Attire,107,0
image124.jpg,Decorationandsignage,45,0
image7718.jpg,misc,60,0
image8079.jpg,Attire,103,0
image6361.jpg,Food,60,0
image6464.jpg,Attire,60,0
image5819.jpg,misc,53,0
image5401.jpg,Attire,53,0
image8590.jpg,Attire,53,0
image9065.jpg,Food,53,0
image6570.jpg,Decorationandsignage,56,0
image4888.jpg,Attire,107,0
image7169.jpg,Attire,80,0
image3688.jpg,misc,60,0
image7018.jpg,Food,60,0
image1510.jpg,Decorationandsignage,53,0
image3475.jpg,Food,60,0
image9756.jpg,Food,60,0
image5784.jpg,Food,53,0
image6714.jpg,Food,53,0
image8701.jpg,Decorationandsignage,120,0
image7775.jpg,misc,53,0
image786.jpg,misc,80,0
image7756.jpg,Attire,78,0
image1001.jpg,misc,53,0
image7921.jpg,Food,60,0
image8697.jpg,Attire,120,0
image10592.jpg,Attire,107,0
image10798.jpg,misc,60,0
image7203.jpg,Food,107,0
image486.jpg,Attire,53,0
image5699.jpg,Food,107,0
image3752.jpg,Decorationandsignage,107,0
image1201.jpg,Attire,54,0
image8021.jpg,misc,60,0
image2025.jpg,Food,53,0
image1171.jpg,misc,54,0
image422.jpg,Food,80,0
image6560.jpg,Attire,66,0
image9566.jpg,Food,80,0
